Name,Ranking,usnews.com link,Tuition and Fees,Room and Board,Total Enrollment,School Type,Year Founded,Religiious Affiliation,Academic Calendar,Setting,2018 Endowment,Median starting salary of alumni,Acceptance_rate,student faculty ratio,Student_faculty_ratio,4-year graduation rate,Class sizes <20,Class sizes 20-49,Class sizes >50,Male,Female,,National Liberal Arts Colleges,Best Undergraduate Teaching,Best Value Schools,Most Innovative Schools,Top Performers on Social Mobility,First-Year Experiences,Learning Communities,Senior Capstone,Writing in the Disciplines,Study Abroad,Undergraduate Research/Creative Projects,,Average annual cost,Estimated cost of books and supplies,Estimated transportation cost,Estimated personal expenses,Average need based scholarship or grant award,Students who applied for need-based financial aid,Students determined to have financial need,Students whose need was fully met,Average need-based financial aid package (freshman),Students who received need-based financial aid,Average need-based scholarship or grant award (freshmen),Students who received need-based scholarship or grant aid (freshmen),Average need-based self-help aid award (freshmen),Students who received need-based self-help aid (freshmen),"Average need-based loan (excluding PLUS, unsubsidized, or other private loans)",Average percent of need met,Average non-need-based scholarship or grant award (freshmen),Average non-need-based athletic scholarship or grant award (freshmen),Student-faculty ratio,International full-time,International part-time,Ph.D or terminal degree,Minority full-time,Minority part-time,Full-time faculty,Part-time faculty,Full-time faculty male,Full-time faculty female,Part-time faculty male,Part-time faculty female,Number of majors,Freshmen_retention,International student retention,2017-2018 Employed Graduates Full-time,,Total undergraduate enrollment,Undergraduates who are first generation,Out-of-state students,International students,Registered clubs and organizations,Number of sports,,Peer_assessment,First_year_top_ten,Social Mobility rank
Bennington College,89,https://www.usnews.com/best-colleges/bennington-college-3682,"$55,950",16200,811,"Private, Coed",1932,None,Semester,Rural,"$35,000,000.00","$42,600",57%,9,9:01,64.00%,87.20%,12%,0%,36%,64%,,89,,87,21,121,,,,,,,,"$29,815","$1,000",$550,"$2,800","$44,567",96%,72%,27%,"$47,740",72%,"$44,567",72%,"$4,051",62%,"$2,244",86%,"$14,802",N/A,9:01,3%,0%,84%,19%,18%,63,61,47.60%,52.40%,44.30%,55.70%,99,78%,87%,N/A,,811,13%,97%,17.40%,43,7,,2.9,55%,121
Gustavus Adolphus College,89,https://www.usnews.com/best-colleges/gustavus-college-2353,"$46,720",10150,2240,"Private, Coed",1862,Evangelical Lutheran Church,04-01-04,Rural,"$183,700,000.00","$48,400",66%,11,11:01,76.00%,62.50%,37.30%,0%,42%,58%,,89,,22,,71,,,,,,,,"$20,050",$900,$300,$670,"$38,129",88%,74%,49%,"$44,057",74%,"$38,129",74%,"$5,928",74%,"$3,470",96%,"$27,506",N/A,11:01,3%,0%,92%,15%,3%,181,40,49.20%,50.80%,57.50%,42.50%,40,88%,91%,37%,,2240,15%,18%,4%,136,7,,3.2,32%,71
University of Puget Sound,89,https://www.usnews.com/best-colleges/university-of-puget-sound-3797,"$51,740",13000,2666,"Private, Coed",1888,None,Semester,Urban,"$369,000,000.00","$48,800",88%,11,11:01,66.00%,63.40%,36%,0%,40%,60%,,89,,100,,169,,,,,,,,"$37,074","$1,000",$500,"$1,906","$32,894",82%,63%,20%,"$37,175",63%,"$32,894",63%,"$5,213",48%,"$3,449",78%,"$19,290",N/A,11:01,2%,0%,91%,13%,9%,230,58,50.40%,49.60%,36.20%,63.80%,52,85%,N/A,N/A,,2364,12%,77%,0.40%,141,10,,3.3,28%,169
Augustana College,92,https://www.usnews.com/best-colleges/augustana-college-1633,"$43,610",10890,2543,"Private, Coed",1860,Evangelical Lutheran Church,Semester,Suburban,"$168,100,000.00","$43,600",72%,12,12:01,70.00%,67.00%,33%,0%,43%,57%,,92,,69,,108,43,,,,,,,"$24,745","$1,000",$400,$800,"$28,295",84%,73%,24%,"$33,499",73%,"$28,295",73%,"$4,629",54%,"$3,201",85%,"$26,902",N/A,12:01,1%,0%,91%,15%,14%,195,66,49.70%,50.30%,47%,53%,75,88%,100%,N/A,,2543,22%,15%,9.70%,218,18,,3.1,28%,108
Hendrix College,92,https://www.usnews.com/best-colleges/hendrix-college-1099,"$47,600",12460,1208,"Private, Coed",1876,United Methodist,Semester,Suburban,"$206,400,000.00","$44,900",72%,11,11:01,66.00%,73.30%,27%,0%,48%,52%,,92,,40,18,185,,,,,,,,"$20,695","$1,100","$1,100","$1,800","$41,127",96%,79%,44%,"$43,752",79%,"$41,127",79%,"$4,309",48%,"$2,382",92%,"$35,348",N/A,11:01,0%,0%,93%,N/A,N/A,104,30,54.80%,45.20%,46.70%,53.30%,32,84%,N/A,N/A,,1202,19%,38%,0.80%,80,0,,3.3,45%,185
Lake Forest College,92,https://www.usnews.com/best-colleges/lake-forest-college-1706,"$48,424",10676,1512,"Private, Coed",1857,None,Semester,Suburban,"$90,600,000.00","$48,900",58%,12,12:01,63.00%,61.80%,38.20%,0%,43%,57%,,92,,45,,7,,,,,,,,"$24,628","$1,000","$1,050","$1,700","$39,501",91%,82%,31%,"$43,237",82%,"$39,501",82%,"$4,253",72%,"$3,408",88%,"$23,000",N/A,12:01,4%,1%,96%,21%,13%,101,77,51.50%,48.50%,36.40%,63.60%,33,85%,96%,62%,,1492,25%,38%,10.40%,87,11,,3,27%,7
Ohio Wesleyan University,92,https://www.usnews.com/best-colleges/ohio-wesleyan-3109,"$47,130",12800,1561,"Private, Coed",1842,United Methodist,Semester,Suburban,"$239,600,000.00","$49,300",69%,9,9:01,61.00%,76%,24.00%,0%,46%,54%,,92,,58,,132,,,,,,,,"$25,194","$1,200",$350,"$1,700","$34,069",84%,75%,19%,"$37,756",75%,"$34,069",75%,"$4,558",61%,"$3,040",80%,"$27,349",N/A,9:01,N/A,N/A,100%,6%,0%,133,73,58.60%,41.40%,47.90%,52.10%,65,79%,88%,N/A,,1561,22%,43%,6.20%,95,6,,3.1,25%,132
Southwestern University,92,https://www.usnews.com/best-colleges/southwestern-university-3620,"$43,560",12320,1430,"Private, Coed",1840,United Methodist,Semester,Suburban,"$281,500,000.00","$49,900",45%,12,12:01,67.00%,60.20%,39.20%,1%,45%,55%,,92,,59,,63,,,,,,,,"$24,993","$1,300",$360,"$1,010","$32,519",88%,67%,27%,"$36,317",67%,"$32,519",67%,"$4,205",53%,"$3,427",89%,"$24,155",N/A,12:01,3%,0%,98%,21%,12%,110,34,46.40%,53.60%,44.10%,55.90%,37,85%,100%,57%,,1430,20%,9%,1%,97,4,,3,34%,63
St. John_s University,92,https://www.usnews.com/best-colleges/st-johns-university-minnesota-2379,"$46,546",10528,1777,"Private, Coed",1857,Roman Catholic,Semester,Rural,"$196,800,000.00","$53,900",80%,12,12:01,71.00%,61.70%,37.60%,1%,100%,0%,,92,,73,,168,,,,,,,,"$23,977","$1,000",$400,"$1,500","$33,770",87%,73%,36%,"$37,157",73%,"$33,770",73%,"$4,839",71%,"$3,392",92%,"$19,436",N/A,12:01,0%,0%,91%,10%,4%,129,25,48.80%,51.20%,40%,60%,37,87%,88%,72%,,1667,18%,20%,4.90%,100,7,,3.2,12%,168
St. Mary_s College of Maryland,92,https://www.usnews.com/best-colleges/st-marys-college-2095,,"$13,595",1602,"Public, Coed",1840,None,Semester,Rural,"$36,400,000.00","$50,200",80%,10,10:01,72.00%,75.10%,24.60%,0%,42%,58%,,92,,103,,179,,,,,,,,"$21,025",$800,$520,"$1,108","$8,955",88%,55%,0%,"$14,693",55%,"$8,955",55%,"$3,250",32%,"$3,153",73%,"$5,602",N/A,10:01,3%,0%,98%,16%,11%,135,74,51.90%,48.10%,47.30%,52.70%,24,86%,100%,39%,,1572,23%,6%,0.40%,99,13,,3,19%,179
Washington and Jefferson College,92,https://www.usnews.com/best-colleges/washington-and-jefferson-college-3389,"$49,338",12776,1357,"Private, Coed",1781,None,04-01-04,Suburban,"$143,600,000.00","$48,200",48%,11,11:01,70.00%,74.10%,26%,0%,51%,49%,,92,,55,,108,,,,,,,,"$27,925",$800,$200,$700,"$38,297",95%,87%,29%,"$42,519",87%,"$38,297",87%,"$4,859",75%,"$3,442",89%,"$29,014",N/A,11:01,3%,3%,93%,17%,11%,114,38,50%,50%,60.50%,39.50%,34,80%,67%,52%,,1356,22%,N/A,2.90%,97,8,,3,32%,108
Luther College,100,https://www.usnews.com/best-colleges/luther-college-1874,"$44,070",9760,2005,"Private, Coed",1861,Evangelical Lutheran Church,04-01-04,Rural,"$167,300,000.00","$48,500",63%,11,11:01,72.00%,58.60%,40.90%,0%,43%,57%,,100,,51,,185,,,,,,,,"$25,273","$1,040","$1,290","$1,725","$33,490",96%,82%,46%,"$41,151",82%,"$33,490",82%,"$6,910",63%,"$6,347",94%,"$28,490",N/A,11:01,0%,4%,93%,11%,4%,157,50,51%,49%,44%,56%,45,84%,93%,61%,,2005,13%,71%,8.90%,80,3,,3.1,27%,185
Principia College,100,https://www.usnews.com/best-colleges/principia-college-1744,"$30,190",11960,448,"Private, Coed",1910,Other,Semester,Rural,"$402,800,000.00","$53,900",92%,5,5:01,58.00%,95%,4.90%,0%,54%,46%,,100,,6,,185,,,,,,,,N/A,"$1,000","$1,000","$1,000","$30,579",72%,66%,N/A,"$34,928",66%,"$30,579",66%,"$5,847",49%,"$5,847",80%,"$24,883",N/A,5:01,7%,0%,70%,10%,0%,70,9,52.90%,47.10%,55.60%,44.40%,23,89%,92%,N/A,,448,N/A,14%,17.70%,52,5,,2.1,22%,185
Hollins University,102,https://www.usnews.com/best-colleges/hollins-university-3715,"$40,010",13930,805,"Private, Women's college",1842,None,04-01-04,Suburban,"$186,300,000.00","$38,500",64%,10,10:01,52%,88.40%,11.60%,0%,0%,100%,,102,,30,,24,,,,,,,,"$19,456",$800,"$1,000","$1,200","$34,973",86%,77%,29%,"$37,586",77%,"$34,973",77%,"$3,520",53%,"$3,365",85%,"$35,233",N/A,10:01,0%,0%,99%,6%,10%,69,29,43.50%,56.50%,41.40%,58.60%,29,77%,100%,32%,,676,26%,50%,6.60%,20,0,,2.8,23%,24
New College of Florida,102,https://www.usnews.com/best-colleges/new-college-of-florida-153704,,9529,837,"Public, Coed",1960,None,04-01-04,Suburban,"$45,900,000.00","$46,100",77%,8,8:01,52.00%,79.00%,21.00%,0%,38%,62%,,102,,97,35,69,,,,,,,,"$10,248","$1,200","$1,100","$2,170","$10,111",91%,54%,33%,"$15,496",54%,"$10,111",54%,"$2,614",36%,"$2,523",97%,"$2,399",N/A,8:01,9%,6%,99%,19%,6%,88,34,45.50%,54.50%,38.20%,61.80%,40,80%,100%,38%,,808,21%,17%,2.10%,68,12,,3.1,37%,69
Saint Mary_s College,102,https://www.usnews.com/best-colleges/saint-marys-college-1836,"$43,900",13020,1645,"Private, Women's college",1844,Roman Catholic,Semester,Suburban,"$194,400,000.00","$47,100",82%,9,9:01,73.00%,54.30%,45.40%,0%,1%,99%,,102,,54,,105,,,,,,,,"$23,244","$1,100",$300,"$1,100","$33,766",90%,77%,17%,"$36,494",77%,"$33,766",77%,"$4,040",59%,"$3,352",84%,"$18,177",N/A,9:01,0%,0%,86%,16%,13%,147,93,29.30%,70.70%,32.30%,67.70%,33,86%,33%,N/A,,1519,20%,68%,1%,82,10,,2.9,27%,105
Elizabethtown College,105,https://www.usnews.com/best-colleges/elizabethtown-college-3262,"$32,000","$11,710",1687,"Private, Coed",1899,Church of Brethren,Semester,Suburban,"$80,700,000.00","$47,000",76%,11,11:01,68%,70%,30%,0%,39%,61%,,105,,76,,160,,,,,,,,"$28,222","$1,100",$250,$800,"$33,002",93%,82%,33%,"$36,219",82%,"$33,002",82%,"$4,033",65%,"$3,085",86%,"$25,999",N/A,11:01,5%,2%,94%,14%,6%,124,50,51.60%,48.40%,30%,70%,56,86%,75%,N/A,,1633,30%,32%,1.70%,86,4,,2.7,30%,160
Hanover College,105,https://www.usnews.com/best-colleges/hanover-college-1801,"$38,750","$11,950",1104,"Private, Coed",1827,Presbyterian Church (USA),04-04-01,Rural,"$143,600,000.00","$45,200",79%,12,12:01,69.00%,70.00%,29%,1%,45%,55%,,105,,43,,40,,,,,,,,"$21,898","$1,200",$600,$953,"$29,160",92%,82%,32%,"$32,651",82%,"$29,160",82%,"$4,390",65%,"$3,335",82%,"$24,763",N/A,12:01,0%,0%,93%,7%,0%,84,16,60.70%,39.30%,43.80%,56.30%,37,80%,100%,69%,,1104,25%,33%,2.70%,60,2,,2.8,27%,40
Hope College,105,https://www.usnews.com/best-colleges/hope-college-2273,"$35,330",10630,3149,"Private, Coed",1866,Reformed Church in America,Semester,City,"$225,700,000.00","$47,400",76%,11,11:01,70.00%,60.70%,36.50%,3%,38%,62%,,105,48,94,,127,,,,,,23,,"$26,175",$980,$350,"$1,390","$23,446",83%,62%,27%,"$28,043",62%,"$23,446",62%,"$4,597",46%,"$3,380",80%,"$10,490",N/A,11:01,N/A,N/A,75%,16%,8%,231,124,51.10%,48.90%,45.20%,54.80%,62,89%,100%,N/A,,3149,15%,67%,2.30%,70,4,,3,39%,127
Ripon College,105,https://www.usnews.com/best-colleges/ripon-college-3884,"$45,113",8653,807,"Private, Coed",1851,None,Semester,City,"$92,800,000.00","$44,300",69%,12,12:01,61.00%,65.80%,33%,2%,47%,53%,,105,,27,,22,,,,,,,,"$18,592",$750,"$1,100",$500,"$33,904",98%,91%,26%,"$37,994",91%,"$33,904",91%,"$5,091",73%,"$3,773",91%,"$23,311",N/A,12:01,2%,0%,98%,13%,0%,60,15,60%,40%,60%,40%,36,79%,70%,58%,,807,28%,26%,3%,57,4,,2.7,17%,22
Washington College,105,https://www.usnews.com/best-colleges/washington-college-maryland-2108,"$48,814","$12,722",1367,"Private, Coed",1782,None,Semester,Rural,"$232,200,000.00","$52,000",64%,10,10:01,65.00%,80.60%,19%,0%,41%,59%,,105,,91,,204,,,,,,,,"$28,943","$1,400",$850,"$1,500","$37,385",91%,79%,25%,"$39,951",79%,"$37,385",79%,"$3,512",58%,"$3,386",88%,"$19,897",N/A,10:01,1%,0%,98%,18%,10%,110,59,46.40%,53.60%,50.80%,49.20%,28,85%,83%,64%,,1367,16%,55%,6.60%,100,8,,2.9,33%,204
Whittier College,105,https://www.usnews.com/best-colleges/whittier-college-1342,"$49,314",14154,1784,"Private, Coed",1887,None,04-01-04,Suburban,"$117,000,000.00","$48,100",76%,12,12:01,60.00%,57.70%,42.10%,0%,42%,58%,,105,,75,,22,,,,,,,,"$25,322","$1,000",$360,"$1,000","$38,039",90%,83%,19%,"$39,482",83%,"$38,039",83%,"$5,324",67%,"$3,738",79%,"$25,479",N/A,12:01,5%,0%,95%,32%,42%,117,45,49.60%,50.40%,35.60%,64.40%,31,78%,N/A,36%,,1732,34%,N/A,2.90%,86,4,,3.1,18%,22
Goucher College,111,https://www.usnews.com/best-colleges/goucher-college-2073,"$45,250",14900,2170,"Private, Coed",1885,None,Semester,Suburban,"$214,900,000.00","$42,800",80%,10,10:01,63.00%,71.40%,29%,0%,31%,69%,,111,,,11,72,,,,,5,,,"$25,306","$1,200","$1,200","$1,500","$36,284",87%,75%,27%,"$39,909",75%,"$36,284",75%,"$4,398",62%,"$3,282",85%,"$22,146",N/A,10:01,1%,0%,89%,15%,14%,131,44,39.70%,60.30%,40.90%,59.10%,34,79%,N/A,39%,,1425,18%,64%,3%,65,4,,3.1,18%,72
Hampden-Sydney College,111,https://www.usnews.com/best-colleges/hampden-sydney-3713,"$46,890",13712,1072,"Private, Men's college",1775,Presbyterian,Semester,Rural,"$170,700,000.00","$55,300",59%,11,11:01,61.00%,72.30%,27.70%,0%,100%,0%,,111,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,11:01,N/A,N/A,91%,7%,7%,96,15,68.80%,31.30%,66.70%,33.30%,26,83%,N/A,54%,,1072,N/A,30%,0.40%,96,18,,,,
Randolph-Macon College,111,https://www.usnews.com/best-colleges/randolph-macon-college-3733,"$42,550","$12,220",1488,"Private, Coed",1830,United Methodist,04-01-04,Suburban,"$166,200,000.00","$43,900",67%,11,11:01,62.00%,65.20%,35%,0%,47%,53%,,111,,,,113,,,,,,,,"$25,621","$1,200",$780,$550,"$26,448",91%,73%,34%,"$29,161",73%,"$26,448",73%,"$4,055",49%,"$3,189",81%,"$23,861",N/A,11:01,N/A,N/A,97%,11%,3%,111,61,45.90%,54.10%,54.10%,45.90%,38,83%,100%,N/A,,1488,23%,22%,2.30%,80,2,,3,15%,113
Grove City College,114,https://www.usnews.com/best-colleges/grove-city-college-3269,"$18,470",10060,2338,"Private, Coed",1876,Undenominational,Semester,Rural,"$128,200,000.00","$52,800",79%,13,13:01,77%,55%,42%,3%,52%,48%,,114,,,,35,,,,,,,,N/A,"$1,000",$500,$350,"$8,385",75%,54%,11%,"$8,385",54%,"$8,385",54%,N/A,27%,N/A,52%,"$7,160",N/A,13:01,1%,2%,80%,6%,3%,159,61,65.40%,34.60%,68.90%,31.10%,51,90%,0%,69%,,2338,N/A,N/A,0.90%,175,4,,2.5,33%,35
St. Anselm College,114,https://www.usnews.com/best-colleges/st-anselm-college-2587,"$41,800","$14,750",2050,"Private, Coed",1889,Roman Catholic,Semester,Suburban,"$158,000,000.00","$54,400",77%,11,11:01,74%,65%,34%,1%,39%,61%,,114,,,,148,,,,,,,,"$31,268","$1,000",$300,"$3,700","$26,486",90%,68%,34%,"$29,745",68%,"$26,486",68%,"$4,213",53%,"$2,706",85%,"$18,134","$11,685",11:01,2%,0%,90%,10%,4%,155,78,44.50%,55.50%,46.20%,53.80%,43,89%,100%,34%,,2050,13%,78%,0.80%,85,9,,2.7,27%,148
Westminster College,114,https://www.usnews.com/best-colleges/westminster-college-pennsylvania-3392,"$37,300","$11,450",1266,"Private, Coed",1852,Presbyterian Church (USA),Semester,Rural,"$123,400,000.00","$43,500",66%,11,11:01,63.00%,66.50%,33%,1%,48%,52%,,114,,,,19,,,,,,,,"$21,618","$1,700",N/A,$800,"$27,087",98%,91%,18%,"$30,133",91%,"$27,087",91%,"$3,769",66%,"$3,379",77%,"$17,184",N/A,11:01,0%,0%,90%,3%,9%,87,55,52.90%,47.10%,50.90%,49.10%,53,79%,N/A,N/A,,1196,26%,28%,0.30%,87,4,,2.7,13%,19
Austin College,117,https://www.usnews.com/best-colleges/austin-college-3543,"$41,155","$12,752",1307,"Private, Coed",1849,Presbyterian,04-01-04,City,"$141,800,000.00","$50,000",55%,13,13:01,66%,61%,39%,0%,49%,51%,,117,,,,50,58,,,,,,,"$21,011","$1,250",$525,$850,"$32,698",87%,73%,29%,"$35,267",73%,"$32,698",73%,"$3,982",49%,"$3,230",87%,"$25,553",N/A,13:01,1%,0%,93%,20%,14%,99,14,61.60%,38.40%,35.70%,64.30%,48,82%,N/A,N/A,,1288,23%,6%,1.90%,74,1,,3,24%,50
College of Idaho,117,https://www.usnews.com/best-colleges/college-of-idaho-1617,"$31,755",9788,964,"Private, Coed",1891,None,04-01-04,Suburban,"$99,300,000.00","$42,600",49%,9,9:01,56.00%,65.70%,33.50%,1%,48%,52%,,117,,,,4,,,,,,,,"$21,433","$1,200",$700,"$1,500","$7,242",82%,67%,26%,"$31,141",67%,"$7,242",67%,"$3,798",55%,"$3,419",37%,"$23,939","$6,928",9:01,1%,0%,83%,7%,7%,81,58,59.30%,40.70%,44.80%,55.20%,31,77%,100%,N/A,,946,27%,36%,13.40%,55,1,,2.6,24%,4
Drew University,117,https://www.usnews.com/best-colleges/drew-university-2603,"$40,960",14672,2263,"Private, Coed",1867,United Methodist,Semester,Suburban,"$91,600,000.00","$50,500",69%,11,11:01,57.00%,66.20%,34%,0%,42%,58%,,117,,,,63,,,,,,,,"$26,218","$1,200",N/A,"$1,982","$30,431",85%,74%,12%,"$35,325",74%,"$30,431",74%,"$7,174",61%,"$3,438",81%,"$18,859",N/A,11:01,7%,7%,99%,21%,21%,150,122,54%,46%,46.70%,53.30%,33,85%,80%,73%,,1668,24%,36%,10.90%,105,6,,2.9,21%,63
Linfield College,117,https://www.usnews.com/best-colleges/linfield-college-3198,"$44,062","$12,670",1376,"Private, Coed",1858,American Baptist,04-01-04,Rural,"$124,500,000.00","$51,300",81%,9,9:01,55%,83.60%,16.10%,0.30%,39%,61%,,117,,,,86,,,,,,,,"$27,254",$900,$750,"$1,000","$29,494",94%,82%,37%,"$38,668",82%,"$29,494",82%,"$5,820",63%,"$3,245",85%,"$22,500",N/A,9:01,0%,0%,94%,13%,13%,123,80,47.20%,52.80%,42.50%,57.50%,54,82%,100%,N/A,,1376,30%,42%,2.80%,57,6,,2.7,30%,86
Lycoming College,117,https://www.usnews.com/best-colleges/lycoming-college-3293,"$41,626","$13,008",1142,"Private, Coed",1812,None,Semester,City,"$207,600,000.00","$44,800",66%,12,12:01,55%,66.90%,32%,1.10%,47%,53%,,117,,,,25,,,,,,,,"$19,019","$1,200","$1,000","$1,000","$36,514",93%,89%,17%,"$46,430",89%,"$36,514",89%,"$4,002",66%,"$3,377",86%,"$26,637",N/A,12:01,0%,0%,97%,5%,4%,88,28,56.80%,43.20%,42.90%,57.10%,87,78%,N/A,N/A,,1142,37%,41%,5.70%,71,7,,2.6,21%,25
Susquehanna University,117,https://www.usnews.com/best-colleges/susquehanna-university-3369,"$49,180","$13,140",2300,"Private, Coed",1858,Evangelical Lutheran Church,Semester,Rural,"$169,800,000.00","$48,500",72%,12,12:01,67%,53%,46.30%,0.80%,44%,56%,,117,,,,105,,,,,26,,,"$25,492","$1,200",$510,$970,"$35,345",91%,83%,21%,"$38,838",83%,"$35,345",83%,"$4,311",68%,"$3,115",85%,"$26,885",N/A,12:01,4%,2%,91%,22%,2%,141,116,54.60%,45.40%,52.60%,47.40%,66,85%,N/A,N/A,,2297,22%,44%,1.70%,160,8,,3,21%,105
Westmont College,117,https://www.usnews.com/best-colleges/westmont-college-1341,"$46,594","$14,646",1277,"Private, Coed",1937,Undenominational,Semester,Suburban,"$84,000,000.00","$48,300",62%,11,11:01,71%,66.80%,31.60%,1.60%,39%,61%,,117,,,,138,,,,,,,,"$31,039","$1,600",$0,"$1,400","$30,341",87%,71%,29%,"$38,684",71%,"$30,341",71%,"$6,438",41%,"$5,869",87%,"$23,845","$8,622",11:01,2%,0%,93%,16%,9%,96,58,58.30%,41.70%,39.70%,60.30%,28,82%,100%,40%,,1277,17%,27%,1.90%,62,6,,2.7,28%,138
Houghton College,124,https://www.usnews.com/best-colleges/houghton-college-2734,"$33,458","$9,568",1001,"Private, Coed",1883,Wesleyan,Semester,Rural,"$56,200,000.00","$43,100",95%,11,11:01,60%,71.20%,28.10%,0.70%,40%,60%,,124,,,,3,,,,,,,,"$19,325","$1,000","$1,500","$2,250","$20,676",92%,86%,11%,"$21,632",86%,"$20,676",86%,"$5,029",63%,"$3,447",61%,"$18,387",N/A,11:01,2%,0%,89%,5%,4%,65,76,60%,40%,51.30%,48.70%,46,87%,86%,N/A,,988,17%,36%,5.30%,22,2,,2.4,29%,3
Millsaps College,124,https://www.usnews.com/best-colleges/millsaps-college-2414,"$41,314","$14,210",864,"Private, Coed",1890,United Methodist,Semester,City,"$101,500,000.00","$45,300",59%,9,9:01,60%,79%,21%,0%,48%,52%,,124,,,,179,,,,,,,,"$22,292","$1,200",$650,"$1,100","$30,284",91%,76%,32%,"$36,305",76%,"$30,284",76%,"$4,353",55%,"$3,395",80%,"$28,812",N/A,9:01,1%,3%,96%,11%,24%,82,29,50%,50%,51.70%,48.30%,31,79%,N/A,N/A,,798,17%,48%,4.80%,60,1,,3,100%,179
Monmouth College,124,https://www.usnews.com/best-colleges/monmouth-college-1725,"$38,990","$9,330",914,"Private, Coed",1853,None,Semester,Rural,"$118,200,000.00","$47,500",69%,9,9:01,47%,81.10%,18.90%,0%,50%,50%,,124,,,,7,,,,,,,,"$17,190","$1,200",$600,$150,"$30,454",97%,93%,28%,"$35,695",93%,"$30,454",93%,"$4,363",67%,"$3,137",91%,"$24,553",N/A,9:01,4%,0%,86%,7%,13%,90,31,51.10%,48.90%,45.20%,54.80%,37,72%,71%,52%,,914,32%,18%,4.20%,72,1,,2.7,22%,7
St. Michael_s College,124,https://www.usnews.com/best-colleges/st-michaels-college-3694,"$47,045","$12,950",1950,"Private, Coed",1904,Roman Catholic,Semester,Suburban,"$89,900,000.00","$47,400",83%,13,13:01,72%,55.10%,43.80%,1.20%,46%,54%,,124,,,,169,,,,,,,,"$30,142","$1,250",$400,$619,"$29,809",88%,75%,23%,"$33,471",75%,"$29,809",75%,"$4,547",60%,"$3,470",80%,"$21,137","$30,368",13:01,1%,1%,85%,5%,4%,123,48,55.30%,44.70%,39.60%,60.40%,47,86%,57%,49%,,1694,12%,85%,3%,50,5,,2.8,24%,169
Stonehill College,124,https://www.usnews.com/best-colleges/stonehill-college-2217,"$44,420","$16,620",2556,"Private, Coed",1948,Roman Catholic,Semester,Suburban,"$211,400,000.00","$50,900",70%,12,12:01,75%,50.90%,49.10%,0%,40%,60%,,124,,,,199,,,,,,,,"$32,911",$893,$675,$932,"$25,638",85%,63%,47%,"$30,636",63%,"$25,638",63%,"$4,684",42%,"$3,337",87%,"$19,657","$16,040",12:01,4%,0%,92%,15%,5%,170,110,54.10%,45.90%,40.90%,59.10%,46,88%,80%,67%,,2535,16%,36%,0.80%,70,9,,2.7,20%,199
Wells College,124,https://www.usnews.com/best-colleges/wells-college-2901,"$30,900","$14,100",470,"Private, Coed",1868,None,Semester,Rural,,"$43,600",79%,9,9:01,57%,81.70%,18.30%,0%,36%,64%,,124,,,,14,,,,,,,,"$22,828","$1,050",$400,$400,"$32,700",97%,92%,10%,"$36,958",92%,"$32,700",92%,"$4,230",88%,"$2,560",83%,"$27,625",N/A,9:01,2%,0%,95%,19%,0%,43,18,39.50%,60.50%,55.60%,44.40%,25,74%,100%,30%,,470,27%,23%,1.30%,39,0,,2.6,21%,14
Coe College,130,https://www.usnews.com/best-colleges/coe-college-1854,"$45,580","$9,820",1422,"Private, Coed",1851,None,04-04-01,City,"$92,900,000.00","$46,500",67%,11,11:01,60%,71.80%,26.80%,1.30%,44%,56%,,130,,,,72,,,,,,,,"$20,767","$1,000","$1,000","$1,670","$36,170",94%,88%,16%,"$39,948",88%,"$36,170",88%,"$4,478",74%,"$3,228",87%,"$28,957",N/A,11:01,1%,0%,96%,16%,13%,103,52,47.60%,52.40%,38.50%,61.50%,58,77%,N/A,54%,,1422,24%,57%,2.10%,81,4,,2.9,28%,72
Roanoke College,130,https://www.usnews.com/best-colleges/roanoke-college-3736,"$45,176","$14,134",2017,"Private, Coed",1842,Evangelical Lutheran Church,Semester,Suburban,"$152,600,000.00","$45,500",72%,11,11:01,61%,59.20%,40.80%,0%,42%,58%,,130,40,,,121,,,,,,,,"$27,435","$1,000","$1,250","$1,000","$33,126",91%,80%,18%,"$36,301",80%,"$33,126",80%,"$4,507",64%,"$3,441",83%,"$24,311",N/A,12:01,2%,0%,89%,11%,6%,168,52,46.40%,53.60%,44.20%,55.80%,35,81%,83%,N/A,,2017,21%,44%,2.40%,100,9,,2.9,18%,121
Concordia College--Moorhead,132,https://www.usnews.com/best-colleges/concordia-college-2346,"$41,566","$8,610",2129,"Private, Coed",1891,Evangelical Lutheran Church,Semester,Suburban,"$129,000,000.00","$45,000",61%,12,12:01,70%,53.20%,46.60%,0.20%,42%,58%,,132,,,,48,,,,,,,,"$23,393",$800,$870,"$2,200","$25,916",92%,80%,27%,"$31,743",80%,"$25,916",80%,"$4,969",64%,"$4,026",90%,"$21,223",N/A,12:01,3%,0%,84%,11%,4%,159,57,53.50%,46.50%,66.70%,33.30%,38,83%,75%,21%,,,,21%,4.20%,113,13,,,,N/A
